"Vintage","Wine","Producer name","Country","Region","Unit","Cases","Price","Status","Availability"
"2020","Jacques-Frederic Mugnier, Chambolle-Musigny Premier Cru, Les Amoureuses","Jacques-Frederic Mugnier","France","Burgundy","75cl","1","POA","IB","On Order"
"NV","Jerome Prevost, Closerie Fac Simile Rose disg. 2014","Jerome Prevost, Closerie Fac Simile Rose Disg. 201","France","Champagne","75cl","2","£ 620","IB","In stock"
"NV","Jerome Prevost, La Closerie disg. 2021","Jerome Prevost, La Closerie Disg. 2021","France","Champagne","75cl","2","£ 475","IB","In stock"
"NV","Jerome Prevost, La Closerie Les Beguines disg. 2021","Jerome Prevost, La Closerie Les Beguines Disg. 202","France","Champagne","75cl","2","£ 230","IB","In stock"
"2020","Jessica Litaud Pouilly-Fuisse Premier Cru Les Crays","Jessica Litaud","France","Burgundy","75cl","1","£ 117","IB","In stock"
"2020","Jessica Litaud Pouilly-Fuisse Premier Cru Les Crays","Jessica Litaud","France","Burgundy","6x75cl","1","£ 700","IB","In stock"
"2020","Jessica Litaud Pouilly-Fuisse Premier Cru Sur La Roche","Jessica Litaud","France","Burgundy","6x75cl","1","£ 675","IB","In stock"
"2017","Jonata, Alma, Santa Ynez Valley","Jonata","USA","California","75cl","3","£ 135","IB","In stock"
"2018","Jonata, El Alma de Jonata Cabernet Franc, Ballard Canyon","Jonata","USA","California","150cl","1","£ 395","IB","In stock"
"2018","Jonata, El Desafio de Jonata Cabernet Sauvignon, Ballard Canyon","Jonata","USA","California","150cl","1","£ 395","IB","In stock"
"2019","Jonata, El Desafio de Jonata Cabernet Sauvignon, Ballard Canyon","Jonata","USA","California","75cl","5","£ 175","IB","In stock"
"2017","Jonata, El Desafio de Jonata, Santa Ynez Valley","Jonata","USA","California","75cl","3","£ 135","IB","In stock"
"2017","Jonata, El Desafio de Jonata, Santa Ynez Valley","Jonata","USA","California","150cl","1","£ 275","IB","In stock"
"2018","Jonata, El Desafio de Jonata, Santa Ynez Valley","Jonata","USA","California","6x75cl","1","£ 810","IB","In stock"
"2017","Jonata, Fenix, Ballard Canyon","Jonata","USA","California","75cl","6","£ 95","IB","In stock"
"2020","Jonata, Flor Sauvignon Blanc, Ballard Canyon","Jonata","USA","California","75cl","2","£ 75","IB","In stock"
"2018","Jonata, Fuerza Petit Verdot, Santa Ynez Valley","Jonata","USA","California","75cl","3","£ 75","IB","In stock"
"2018","Jonata, La Flor de Jonata, Santa Ynez Valley","Jonata","USA","California","75cl","2","£ 60","IB","In stock"
"2019","Jonata, La Flor de Jonata, Santa Ynez Valley","Jonata","USA","California","75cl","3","£ 65","IB","In stock"
"2018","Jonata, La Sangre de Jonata Syrah, Ballard Canyon","Jonata","USA","California","150cl","1","£ 395","IB","In stock"
"2019","Jonata, La Sangre de Jonata Syrah, Ballard Canyon","Jonata","USA","California","75cl","4","£ 175","IB","In stock"
"2017","Jonata, Sangre, Santa Ynez Valley","Jonata","USA","California","75cl","6","£ 135","IB","In stock"
"2018","Jonata, Sangre, Santa Ynez Valley","Jonata","USA","California","6x75cl","1","£ 840","IB","In stock"
"2017","Jonata, Tierra, Santa Ynez Valley","Jonata","USA","California","75cl","2","£ 95","IB","In stock"
"2018","Jonata, Tierra, Santa Ynez Valley","Jonata","USA","California","75cl","2","£ 80","IB","In stock"
"2019","Jonata, Todos, Ballard Canyon","Jonata","USA","California","75cl","12","£ 60","IB","In stock"
"2018","Jonata, Todos, Santa Ynez Valley","Jonata","USA","California","6x75cl","7","£ 330","IB","In stock"
"1978","Joseph Phelps, Backus Vineyard Cabernet Sauvignon, Oakville","Joseph Phelps","USA","California","3x150cl","1","£ 1,950","IB","In stock"
"1981","Joseph Phelps, Insignia, Napa Valley","Joseph Phelps","USA","California","75cl","1","POA","DP","In stock"
"2005","Joseph Roty, Charmes-Chambertin Grand Cru, Tres Vieilles Vignes","Joseph Roty","France","Burgundy","75cl","1","£ 635","IB","In stock"
"2019","Jules Desjourneys, Pouilly-Fuisse","Jules Desjourneys","France","Burgundy","6x75cl","1","£ 315","IB","On Order"
"2020","Jules Desjourneys, Pouilly-Fuisse, Vignes De La Cote","Jules Desjourneys","France","Burgundy","6x75cl","1","£ 420","IB","On Order"
"2015","Kanonkop, Paul Sauer, Stellenbosch","Kanonkop","South Africa","Western Cape","150cl","1","£ 500","IB","In stock"
"2015","Kanonkop, Paul Sauer, Stellenbosch","Kanonkop","South Africa","Western Cape","6x75cl","1","POA","DP","In stock"
"2016","Kistler, Silver Belt Vineyard Cuvee Natalie, Sonoma Coast","Kistler","USA","California","75cl","1","£ 100","IB","In stock"
"2002","Krug, Clos d'Ambonnay","Krug","France","Champagne","75cl","1","£ 2,500","IB","In stock"
"2004","Krug, Clos du Mesnil","Krug","France","Champagne","150cl","1","£ 3,500","IB","In stock"
"1998","Krug, Clos du Mesnil","Krug","France","Champagne","75cl","1","£ 1,200","DP","In stock"
"2000","Krug, Grande Cuvee","Krug","France","Champagne","6x75cl","1","£ 2,150","IB","In stock"
"2002","Krug, Grande Cuvee","Krug","France","Champagne","6x75cl","2","£ 2,200","IB","In stock"
"NV","Krug, Grande Cuvee","Krug","France","Champagne","75cl","1","POA","DP","In stock"
"NV","Krug, Grande Cuvee 164eme Edition","Krug","France","Champagne","150cl","1","POA","IB","In stock"
"NV","Krug, Rose 19eme Edition","Krug","France","Champagne","150cl","1","£ 600","IB","In stock"
"2002","Krug, Vintage Brut","Krug","France","Champagne","75cl","6","£ 367","IB","In stock"
"2006","Krug, Vintage Brut","Krug","France","Champagne","6x75cl","2","£ 1,450","IB","In stock"
"2021","La Clarte de Haut-Brion, Pessac-Leognan","Chateau Haut-Brion","France","Bordeaux","6x75cl","1","£ 522","IB","On Order"
"NV","La Pousse d'Or, Fine de Bourgogne, 30YO","La Pousse d'Or","France","Burgundy","70cl","1","£ 95","IB","In stock"
"NV","La Pousse d'Or, Marc de Bourgogne, 30YO","La Pousse d'Or","France","Burgundy","70cl","1","£ 95","IB","In stock"
"2022","La Rose de Manincor","Manincor","Italy","Trentino-Alto Adige","6x75cl","3","£ 99","IB","In stock"
"NV","Laherte Freres Petit Meslier","Laherte Freres Petit Meslier","France","Champagne","6x75cl","1","£ 438","IB","In stock"
"2017","Laherte Freres, Les Vignes d'Autrefois","Laherte Freres","France","Champagne","6x75cl","2","£ 295","IB","In stock"
"2002","Lanson, Noble Cuvee Blanc De Blancs","Lanson","France","Champagne","75cl","6","£ 120","IB","In stock"
"2021","Le Clarence de Haut-Brion, Pessac-Leognan","Chateau Haut-Brion","France","Bordeaux","6x75cl","2","£ 654","IB","On Order"
"2020","Le Dragon de Quintus, Saint-Emilion Grand Cru","Chateau Quintus","France","Bordeaux","6x75cl","2","£ 140","IB","In stock"
"2020","Lismore, Syrah, Cape South Coast","Lismore","South Africa","Cape South Coast","6x75cl","1","£ 132","IB","In stock"
"2020","Littorai, Chardonnay, Sonoma Coast","Littorai","USA","California","75cl","6","£ 60","IB","In stock"
"2020","Littorai, Les Larmes Pinot Noir, Anderson Valley","Littorai","USA","California","75cl","6","£ 60","IB","In stock"
"2008","Louis Roederer, Cristal","Louis Roederer","France","Champagne","6x75cl","1","£ 1,450","IB","In stock"
"2002","Louis Roederer, Cristal","Louis Roederer","France","Champagne","6x75cl","1","£ 2,275","IB","In stock"
"2018","Louis Roederer, Le Mesnil-sur-Oger Hommage Camille","Louis Roederer","France","Champagne","3x75cl","1","£ 1,050","IB","In stock"
"2010","Luciano Sandrone, Barolo, Vigne","Luciano Sandrone","Italy","Piedmont","3x75cl","1","£ 590","IB","In stock"
"2020","Lukas Loggerenberg, Breton Cabernet Franc, Stellenbosch","Lukas Loggerenberg","South Africa","Western Cape","6x75cl","1","£ 111","DP","In stock"
"2020","Lukas Loggerenberg, Breton Cabernet Franc, Stellenbosch","Lukas Loggerenberg","South Africa","Western Cape","6x75cl","1","£ 111","IB","In stock"
"2020","Lukas Loggerenberg, Trust Your Gut, Western Cape","Lukas Loggerenberg","South Africa","Western Cape","6x75cl","2","£ 114","IB","In stock"
"2011","M. Chapoutier, Hermitage, De l'Oree","M. Chapoutier","France","Rhone","6x75cl","1","£ 895","IB","In stock"
"2006","M. Chapoutier, Hermitage, l'Ermite Blanc","M. Chapoutier","France","Rhone","75cl","3","£ 330","IB","In stock"
"2011","M. Chapoutier, Hermitage, Le Meal Rouge","M. Chapoutier","France","Rhone","6x75cl","1","£ 835","IB","In stock"
"NV","Macallan, Highland Single Malt Fine Oak 21YO, Speyside","Macallan","Scotland","Speyside","70cl","1","£ 1,200","IB","In stock"
"2020","Markus Molitor, Erdener Pralat Riesling Auslese 3* White Capsule, Mosel","Markus Molitor","Germany","Mosel","6x75cl","1","£ 2,400","IB","In stock"
"2013","Markus Molitor, Graacher Himmelreich Riesling Auslese 3* Goldkapsel, Mosel","Markus Molitor","Germany","Mosel","6x75cl","1","£ 525","IB","In stock"
"2020","Miraval, Rose, Cotes de Provence","Miraval","France","Provence","6x75cl","6","£ 65","IB","In stock"
"1988","Moet & Chandon, Grand Vintage","Moet & Chandon","France","Champagne","75cl","3","£ 200","IB","In stock"
"1988","Moet & Chandon, Grand Vintage Rose","Moet & Chandon","France","Champagne","150cl","3","£ 665","IB","In stock"
"1990","Moet & Chandon, Grand Vintage Rose Collection","Moet & Chandon","France","Champagne","150cl","1","£ 495","IB","In stock"
"NV","Moet & Chandon, MCIII","Moet & Chandon","France","Champagne","150cl","3","£ 695","IB","In stock"
"2018","Nervi Conterno, Gattinara, Vigna Valferana","Nervi Conterno","Italy","Piedmont","6x75cl","1","£ 480","IB","In stock"
"2016","Nutbourne, Nutty Vintage","Nutbourne","United Kingdom","England","75cl","1","£ 15","DP","In stock"
"2013","Opus One, Napa Valley","Opus One","USA","California","3x150cl","1","£ 2,400","IB","In stock"
"1993","Pajzos, Essencia, Tokaj","Pajzos","Hungary","Tokaj-Hegyalja","6x50cl","3","£ 1,600","IB","In stock"
"2004","Penfolds, Bin 60A Cabernet Shiraz, South Australia","Penfolds","Australia","South Australia","6x75cl","1","£ 1,950","IB","In stock"
"1998","Penfolds, Bin 707 Cabernet Sauvignon, South Australia","Penfolds","Australia","South Australia","6x75cl","1","£ 1,300","IB","In stock"
"1999","Penfolds, Bin 707 Cabernet Sauvignon, South Australia","Penfolds","Australia","South Australia","6x75cl","2","£ 1,500","IB","In stock"
"2004","Penfolds, Bin 707 Cabernet Sauvignon, South Australia","Penfolds","Australia","South Australia","6x75cl","1","£ 1,400","IB","In stock"
"2005","Penfolds, Bin 707 Cabernet Sauvignon, South Australia","Penfolds","Australia","South Australia","6x75cl","1","£ 1,950","IB","In stock"
"1998","Penfolds, Bin 798 RWT Shiraz, Barossa Valley","Penfolds","Australia","South Australia","6x75cl","1","£ 600","IB","In stock"
"2004","Penfolds, Block 42 Kalimna Cabernet Sauvignon, Barossa Valley","Penfolds","Australia","South Australia","6x75cl","1","£ 3,750","DP","In stock"
"2004","Penfolds, Block 42 Kalimna Cabernet Sauvignon, Barossa Valley","Penfolds","Australia","South Australia","6x75cl","1","£ 3,750","IB","In stock"
"2002","Penfolds, Grange, South Australia","Penfolds","Australia","South Australia","6x75cl","1","£ 1,900","IB","In stock"
"2016","Pierre-Yves Colin-Morey, Meursault Premier Cru, Perrieres","Pierre-Yves Colin Morey","France","Burgundy","3x75cl","1","£ 1,780","IB","In stock"
"2007","Pieve Santa Restituta (Gaja), Brunello di Montalcino, Sugarille","Pieve Santa Restituta (Gaja)","Italy","Tuscany","500cl","1","£ 750","IB","In stock"
"1979","Piper Heidsieck, Rare","Piper Heidsieck","France","Champagne","75cl","2","£ 475","IB","In stock"
"1988","Pol Roger, Brut Vintage","Pol Roger","France","Champagne","75cl","1","POA","DP","In stock"
"1959","Pol Roger, Brut Vintage","Pol Roger","France","Champagne","150cl","1","£ 1,995","IB","In stock"
"1949","Pol Roger, Extra Dry","Pol Roger","France","Champagne","75cl","1","£ 900","DP","In stock"
"2018","Rampolla, Alceo, IGT","Rampolla","Italy","Tuscany","6x75cl","1","£ 516","IB","On Order"
"2013","Ridge, California Cabernet Sauvignon Monte Bello, Santa Cruz Mountains","Ridge","USA","California","75cl","6","£ 250","IB","In stock"
"2013","Ripe al Convento di Castelgiocondo Riserva, Brunello di Montalcino","Castelgiocondo (Frescobaldi)","Italy","Tuscany","6x75cl","4","£ 360","IB","In stock"
"2004","Roagna, Barbaresco, Paje Crichet","Roagna","Italy","Piedmont","300cl","2","£ 5,950","IB","In stock"
"2011","Rochette, Pinot Noir Rissieux, Neuchatel","Rochette","Switzerland","Neuchatel","75cl","2","£ 500","IB","In stock"
"1997","Salon, Le Mesnil-sur-Oger Grand Cru","Salon","France","Champagne","6x75cl","1","£ 5,500","IB","In stock"
"1999","Salon, Le Mesnil-sur-Oger Grand Cru","Salon","France","Champagne","3x75cl","1","£ 3,900","IB","In stock"
"2012","Salon, Le Mesnil-sur-Oger Grand Cru","Salon","France","Champagne","75cl","1","£ 850","IB","In stock"
"2006","Sassicaia, Tenuta San Guido, Bolgheri","Tenuta San Guido","Italy","Tuscany","600cl","1","£ 3,300","IB","In stock"
"2009","Sassicaia, Tenuta San Guido, Bolgheri","Tenuta San Guido","Italy","Tuscany","600cl","1","£ 3,700","IB","In stock"
"2019","Schloss Gobelsburg, Ried Gaisberg Riesling Erste Lage, Kamptal DAC","Domaene Gobelsburg","Austria","Niederosterreich","6x75cl","1","£ 150","IB","In stock"
"2020","Sena, Rocas de Sena, Aconcagua Valley","Sena","Chile","Aconcagua Valley","6x75cl","1","£ 190","IB","In stock"
"1990","Taittinger Comtes de Champagne Blanc de Blancs Champagne","Taittinger","France","Champagne","75cl","2","£ 420","IB","In stock"
"2011","Taittinger Comtes de Champagne Blanc de Blancs Champagne","Taittinger","France","Champagne","150cl","2","£ 210","IB","In stock"
"2013","Taittinger Comtes de Champagne Blanc de Blancs Champagne","Taittinger","France","Champagne","6x75cl","2","£ 715","IB","On Order"
"2006","Taittinger, Comtes de Champagne Rose","Taittinger","France","Champagne","6x75cl","2","£ 875","IB","In stock"
"2005","Taittinger, Comtes de Champagne Rose","Taittinger","France","Champagne","3x150cl","2","£ 1,500","IB","In stock"
"2005","Taittinger, Comtes de Champagne Rose","Taittinger","France","Champagne","6x75cl","3","£ 1,375","IB","In stock"
"NV","Taittinger, Prelude Grand Cru","Taittinger","France","Champagne","150cl","1","£ 80","DP","In stock"
"NV","Taittinger, Prelude Grand Cru","Taittinger","France","Champagne","150cl","2","£ 80","IB","In stock"
"2008","Tardieu-Laurent, Cote Rotie","Tardieu-Laurent","France","Rhone","12x75cl","1","£ 410","IB","In stock"
"2008","Tardieu-Laurent, Hermitage, Rouge","Tardieu-Laurent","France","Rhone","12x75cl","2","£ 570","IB","In stock"
"1998","Taylor's, Vargellas Vintage Port","Taylor's","Portugal","Port","75cl","5","£ 40","DP","In stock"
"2018","Taylor's, Vintage Port","Taylor's","Portugal","Port","12x37.5cl","1","£ 280","IB","In stock"
"NV","Tears of Llorona, Extra Anejo, No.3","Tears Of Llorona","Mexico","Jalisco","100cl","3","£ 245","IB","In stock"
"NV","Tesseron, Lot 29 Exception XO, Grande Champagne Cognac","Tesseron","France","Cognac","70cl","1","£ 350","IB","In stock"
"2008","The Foundry, Syrah, Stellenbosch","The Foundry","South Africa","Western Cape","6x75cl","2","£ 102","IB","In stock"
"2019","The Hilt, Bentrock Vineyard Chardonnay, Sta. Rita Hills","The Hilt","USA","California","75cl","4","£ 80","IB","In stock"
"2019","The Hilt, Bentrock Vineyard Pinot Noir, Sta. Rita Hills","The Hilt","USA","California","75cl","6","£ 80","IB","In stock"
"2019","The Hilt, Radian Vineyard Chardonnay, Santa Barbara County","The Hilt","USA","California","75cl","4","£ 80","IB","In stock"
"2019","The Hilt, Sta. Rita Hills Radian Vineyard Pinot Noir","The Hilt","USA","California","75cl","6","£ 80","IB","In stock"
"2019","TOR Kenward Family, Black Magic, Napa Valley","TOR Kenward Family","USA","California","75cl","1","£ 433","IB","In stock"
"2019","TOR Kenward Family, Cuvee Susan Reserve Chardonnay, Los Carneros","TOR Kenward Family","USA","California","6x75cl","2","£ 420","IB","In stock"
"2020","TOR Kenward Family, Cuvee Susan Reserve Chardonnay, Los Carneros","TOR Kenward Family","USA","California","3x75cl","8","£ 278","IB","In stock"
"2017","TOR Kenward Family, Melanson Vineyard Cabernet Sauvignon, Napa Valley","TOR Kenward Family","USA","California","75cl","12","£ 140","IB","In stock"
"2020","TOR Kenward Family, Torchiana Chardonnay, Napa Valley","TOR Kenward Family","USA","California","3x75cl","8","£ 270","IB","In stock"
"2017","TOR, Palisades Vineyard Old Vine Petite Syrah","TOR wines","USA","California","6x75cl","2","£ 480","IB","In stock"
"2004","Veuve Clicquot, Vintage Brut","Veuve Clicquot","France","Champagne","3x150cl","2","£ 450","IB","In stock"
"2008","Veuve Clicquot, Vintage Brut","Veuve Clicquot","France","Champagne","3x150cl","2","£ 525","IB","In stock"
"2014","Vietti, Barolo, Ravera","Vietti","Italy","Piedmont","150cl","1","£ 235","IB","In stock"
"2013","Vietti, Barolo, Villero Riserva","Vietti","Italy","Piedmont","75cl","3","£ 275","IB","In stock"
"2010","Vietti, Barolo, Villero Riserva","Vietti","Italy","Piedmont","150cl","6","£ 875","IB","In stock"
"2012","Vietti, Barolo, Villero Riserva","Vietti","Italy","Piedmont","150cl","3","£ 650","IB","In stock"
"2009","Vietti, Barolo, Villero Riserva","Vietti","Italy","Piedmont","75cl","1","£ 330","IB","In stock"
"NV","WhistlePig, Straight Rye 10YO","WhistlePig","USA","Vermont","70cl","1","£ 55","IB","In stock"
"2020","Williams Selyem, Olivet Lane Chardonnay, Russian River Valley","Williams Selyem","USA","California","6x75cl","2","£ 405","IB","In stock"
"2019","Williams Selyem, Pinot Noir Westside Road Neighbors, Russian River Valley","Williams Selyem","USA","California","75cl","7","£ 75","IB","In stock"
"2018","Williams Selyem, Pinot Noir, Sonoma Coast","Williams Selyem","USA","California","75cl","3","£ 60","IB","In stock"
"2019","Williams Selyem, Pinot Noir, Sonoma Coast","Williams Selyem","USA","California","12x75cl","1","£ 720","IB","In stock"
"2019","Williams Selyem, Vista Verde Late Harvest Gewurztraminer, San Benito County","Williams Selyem","USA","California","6x37.5cl","1","£ 240","IB","In stock"
"2022","Yamazaki, Single Malt Tsukuriwake Selection Cask Series Case","Yamazaki (Suntory)","Japan","Osaka","4x70cl","2","£ 6,320","DP","In stock"
"2004","Yarra Yering, Dry Red N°1, Victoria","Yarra Yering","Australia","Victoria","12x75cl","2","£ 1,250","IB","In stock"
